iter	Passed	Remaining
143	1657	9851
144	1665	9817
145	1790	10474
146	1800	10447
147	1808	10409
148	1833	10473
149	1846	10466
150	1857	10442
151	1871	10439
152	1883	10428
153	1892	10396
154	1899	10357
155	1911	10341
156	1919	10308
157	1926	10267
158	1934	10234
159	1941	10194
160	1951	10168
161	1959	10134
162	1966	10097
163	1973	10059
164	1980	10021
165	1987	9987
166	1994	9948
167	2001	9911
168	2007	9871
169	2014	9837
170	2022	9806
171	2029	9768
172	2037	9739
173	2044	9704
174	2059	9710
175	2073	9709
176	2085	9696
177	2097	9687
178	2108	9672
179	2118	9649
180	2137	9671
181	2151	9671
182	2166	9670
183	2176	9650
184	2184	9624
185	2192	9595
186	2200	9566
187	2207	9535
188	2215	9508
189	2223	9477
190	2231	9452
191	2240	9428
192	2247	9398
193	2255	9370
194	2263	9344
195	2272	9321
196	2281	9299
197	2290	9277
198	2300	9258
199	2308	9234
200	2316	9207
201	2324	9184
202	2334	9166
203	2343	9142
204	2351	9119
205	2362	9106
206	2375	9099
207	2384	9079
208	2393	9057
209	2406	9054
210	2417	9041
211	2427	9021
212	2438	9011
213	2448	8992
214	2458	8975
215	2468	8959
216	2480	8949
217	2489	8928
218	2499	8913
219	2508	8894
220	2517	8872
221	2528	8860
222	2536	8838
223	2548	8827
224	2556	8806
225	2564	8784
226	2575	8770
227	2584	8749
228	2592	8728
229	2602	8711
230	2611	8694
231	2623	8683
232	2630	8660
233	2639	8639
234	2646	8615
235	2659	8609
236	2667	8586
237	2674	8562
238	2681	8539
239	2688	8512
240	2695	8488
241	2701	8462
242	2707	8434
243	2713	8408
244	2719	8381
245	2726	8356
246	2732	8330
247	2738	8304
248	2744	8278
249	2750	8250
250	2756	8224
251	2762	8201
252	2768	8174
253	2775	8152
254	2782	8129
255	2789	8105
256	2795	8081
257	2802	8060
258	2808	8036
259	2815	8012
260	2822	7990
261	2828	7967
262	2834	7943
263	2841	7922
264	2847	7898
265	2854	7875
266	2859	7850
267	2866	7828
268	2871	7804
269	2877	7780
270	2883	7757
271	2889	7734
272	2896	7713
273	2904	7696
274	2912	7677
275	2918	7655
276	2924	7634
277	2931	7612
278	2937	7590
279	2944	7571
280	2951	7551
281	2957	7530
282	2963	7509
283	2969	7486
284	2974	7463
285	2980	7441
286	2987	7420
287	2993	7401
288	3000	7381
289	3006	7360
290	3012	7339
291	3019	7321
292	3025	7299
293	3031	7278
294	3036	7256
295	3042	7235
296	3048	7215
297	3054	7194
298	3060	7174
299	3066	7155
300	3073	7136
301	3079	7118
302	3084	7096
303	3090	7075
304	3096	7055
305	3102	7037
306	3109	7018
307	3115	6999
308	3121	6979
309	3127	6960
310	3133	6941
311	3138	6920
312	3144	6901
313	3150	6882
314	3156	6864
315	3163	6848
316	3170	6830
317	3176	6813
318	3182	6794
319	3188	6775
320	3193	6755
321	3199	6736
322	3205	6718
323	3211	6699
324	3217	6682
325	3223	6663
326	3229	6646
327	3235	6628
328	3240	6609
329	3247	6593
330	3253	6575
331	3259	6559
332	3266	6543
333	3272	6525
334	3279	6509
335	3285	6493
336	3291	6476
337	3297	6459
338	3303	6441
339	3308	6423
340	3314	6405
341	3320	6388
342	3327	6373
343	3332	6355
344	3339	6339
345	3345	6323
346	3351	6306
347	3356	6289
348	3362	6272
349	3368	6256
350	3374	6239
351	3381	6225
352	3388	6210
353	3394	6194
354	3401	6181
355	3410	6169
356	3416	6153
357	3423	6138
358	3430	6124
359	3437	6111
360	3445	6098
361	3451	6083
362	3459	6070
363	3466	6056
364	3472	6041
365	3479	6028
366	3486	6012
367	3491	5997
368	3497	5981
369	3503	5965
370	3509	5949
371	3514	5933
372	3520	5917
373	3526	5902
374	3532	5886
375	3538	5872
376	3543	5856
377	3549	5841
378	3554	5824
379	3560	5809
380	3566	5794
381	3572	5779
382	3578	5765
383	3584	5749
384	3589	5734
385	3595	5718
386	3601	5704
387	3607	5689
388	3612	5674
389	3618	5659
390	3623	5644
391	3629	5628
392	3634	5614
393	3640	5599
394	3646	5584
395	3653	5572
396	3658	5557
397	3664	5542
398	3669	5527
399	3676	5514
400	3682	5500
401	3688	5486
402	3693	5472
403	3699	5458
404	3704	5442
405	3710	5428
406	3716	5414
407	3721	5400
408	3727	5386
409	3732	5371
410	3739	5359
411	3745	5345
412	3751	5331
413	3756	5317
414	3762	5303
415	3768	5290
416	3773	5276
417	3779	5262
418	3785	5248
419	3790	5234
420	3796	5221
421	3802	5208
422	3808	5194
423	3813	5180
424	3819	5166
425	3824	5153
426	3830	5140
427	3836	5126
428	3841	5113
429	3847	5099
430	3852	5086
431	3858	5072
432	3863	5059
433	3869	5046
434	3875	5033
435	3881	5021
436	3887	5007
437	3893	4995
438	3898	4982
439	3904	4969
440	3911	4958
441	3917	4945
442	3922	4932
443	3928	4919
444	3934	4906
445	3939	4893
446	3945	4880
447	3951	4868
448	3956	4855
449	3962	4843
450	3968	4830
451	3974	4818
452	3980	4806
453	3986	4794
454	3992	4782
455	3998	4769
456	4003	4757
457	4009	4744
458	4015	4732
459	4020	4720
460	4026	4707
461	4031	4694
462	4037	4682
463	4043	4670
464	4049	4658
465	4055	4646
466	4060	4634
467	4065	4621
468	4071	4609
469	4077	4598
470	4083	4586
471	4089	4574
472	4094	4562
473	4100	4549
474	4105	4538
475	4111	4525
476	4117	4514
477	4122	4502
478	4128	4490
479	4134	4479
480	4140	4467
481	4146	4455
482	4152	4445
483	4158	4433
484	4164	4422
485	4171	4411
486	4176	4399
487	4182	4388
488	4188	4376
489	4193	4365
490	4199	4353
491	4205	4341
492	4210	4330
493	4216	4318
494	4221	4306
495	4227	4295
496	4233	4284
497	4238	4272
498	4244	4261
499	4249	4249
500	4255	4238
501	4261	4227
502	4266	4215
503	4272	4205
504	4278	4194
505	4284	4182
506	4290	4172
507	4296	4161
508	4302	4150
509	4308	4139
510	4314	4128
511	4320	4117
512	4327	4107
513	4333	4097
514	4339	4086
515	4345	4075
516	4350	4064
517	4356	4054
518	4363	4043
519	4369	4033
520	4374	4022
521	4380	4011
522	4386	4001
523	4393	3991
524	4401	3982
525	4406	3971
526	4412	3960
527	4418	3950
528	4425	3940
529	4430	3929
530	4437	3919
531	4444	3910
532	4450	3899
533	4457	3889
534	4463	3879
535	4468	3868
536	4474	3858
537	4480	3847
538	4487	3837
539	4492	3827
540	4498	3817
541	4505	3807
542	4512	3797
543	4518	3787
544	4524	3777
545	4530	3766
546	4537	3757
547	4542	3747
548	4548	3736
549	4554	3726
550	4559	3715
551	4565	3705
552	4571	3694
553	4576	3684
554	4582	3674
555	4588	3664
556	4594	3654
557	4600	3643
558	4605	3633
559	4610	3622
560	4616	3612
561	4622	3602
562	4628	3592
563	4633	3582
564	4639	3571
565	4645	3561
566	4651	3551
567	4657	3541
568	4662	3531
569	4668	3521
570	4674	3511
571	4679	3501
572	4685	3491
573	4691	3481
574	4697	3472
575	4703	3462
576	4709	3452
577	4714	3442
578	4720	3432
579	4725	3422
580	4731	3412
581	4737	3402
582	4742	3392
583	4748	3382
584	4753	3372
585	4759	3362
586	4765	3352
587	4771	3343
588	4776	3333
589	4782	3323
590	4787	3313
591	4794	3304
592	4799	3294
593	4805	3284
594	4811	3274
595	4816	3265
596	4822	3255
597	4827	3245
598	4833	3235
599	4839	3226
600	4844	3216
601	4850	3206
602	4855	3196
603	4861	3187
604	4866	3177
605	4873	3168
606	4878	3158
607	4884	3149
608	4890	3139
609	4896	3130
610	4902	3121
611	4908	3112
612	4915	3103
613	4921	3093
614	4927	3084
615	4932	3075
616	4938	3065
617	4943	3055
618	4949	3046
619	4955	3036
620	4961	3027
621	4967	3018
622	4972	3009
623	4978	3000
624	4985	2991
625	4991	2982
626	4997	2973
627	5003	2963
628	5009	2954
629	5015	2945
630	5020	2935
631	5025	2926
632	5031	2917
633	5037	2907
634	5043	2898
635	5048	2889
636	5055	2880
637	5062	2872
638	5068	2863
639	5074	2854
640	5082	2846
641	5090	2838
642	5098	2830
643	5106	2822
644	5113	2814
645	5120	2805
646	5127	2797
647	5135	2789
648	5141	2780
649	5149	2772
650	5158	2765
651	5165	2757
652	5171	2747
653	5176	2738
654	5182	2729
655	5188	2720
656	5195	2712
657	5200	2703
658	5206	2694
659	5212	2685
660	5217	2676
661	5223	2667
662	5229	2657
663	5234	2648
664	5240	2639
665	5245	2630
666	5250	2621
667	5256	2612
668	5262	2603
669	5267	2594
670	5272	2585
671	5278	2576
672	5284	2567
673	5290	2559
674	5296	2550
675	5302	2541
676	5309	2533
677	5315	2524
678	5320	2515
679	5326	2506
680	5331	2497
681	5337	2488
682	5343	2479
683	5349	2471
684	5354	2462
685	5359	2453
686	5365	2444
687	5371	2435
688	5376	2427
689	5382	2418
690	5387	2409
691	5393	2400
692	5400	2392
693	5406	2383
694	5412	2375
695	5419	2366
696	5425	2358
697	5431	2350
698	5438	2341
699	5451	2336
700	5460	2328
701	5471	2322
702	5479	2314
703	5488	2307
704	5495	2299
705	5504	2292
706	5511	2284
707	5518	2276
708	5526	2268
709	5532	2259
710	5538	2251
711	5545	2242
712	5551	2234
713	5558	2226
714	5565	2218
715	5571	2209
716	5577	2201
717	5584	2193
718	5590	2184
719	5597	2176
720	5603	2168
721	5609	2160
722	5616	2151
723	5622	2143
724	5628	2134
725	5634	2126
726	5640	2118
727	5647	2110
728	5654	2101
729	5660	2093
730	5666	2085
731	5673	2077
732	5679	2068
733	5685	2060
734	5692	2052
735	5699	2044
736	5705	2036
737	5712	2028
738	5719	2020
739	5726	2011
740	5732	2003
741	5738	1995
742	5744	1986
743	5750	1978
744	5756	1970
745	5762	1962
746	5768	1953
747	5775	1945
748	5782	1937
749	5788	1929
750	5794	1921
751	5801	1913
752	5807	1904
753	5812	1896
754	5819	1888
755	5825	1880
756	5831	1872
757	5839	1864
758	5845	1856
759	5853	1848
760	5859	1840
761	5865	1832
762	5872	1823
763	5878	1815
764	5885	1807
765	5893	1800
766	5900	1792
767	5907	1784
768	5913	1776
769	5920	1768
770	5927	1760
771	5934	1752
772	5940	1744
773	5946	1736
774	5953	1728
775	5959	1720
776	5966	1712
777	5973	1704
778	5981	1696
779	5991	1689
780	5999	1682
781	6007	1674
782	6015	1667
783	6022	1659
784	6030	1651
785	6038	1644
786	6046	1636
787	6054	1628
788	6061	1621
789	6069	1613
790	6077	1605
791	6084	1598
792	6093	1590
793	6101	1582
794	6109	1575
795	6116	1567
796	6124	1559
797	6131	1552
798	6138	1544
799	6145	1536
800	6151	1528
801	6158	1520
802	6165	1512
803	6172	1504
804	6179	1496
805	6186	1488
806	6193	1481
807	6200	1473
808	6207	1465
809	6213	1457
810	6221	1449
811	6229	1442
812	6236	1434
813	6243	1426
814	6251	1419
815	6258	1411
816	6266	1403
817	6274	1396
818	6282	1388
819	6289	1380
820	6298	1373
821	6305	1365
822	6313	1357
823	6320	1349
824	6327	1342
825	6334	1334
826	6340	1326
827	6348	1318
828	6355	1310
829	6362	1303
830	6368	1295
831	6375	1287
832	6382	1279
833	6389	1271
834	6397	1264
835	6405	1256
836	6412	1248
837	6419	1241
838	6428	1233
839	6435	1225
840	6443	1218
841	6451	1210
842	6459	1202
843	6466	1195
844	6475	1187
845	6483	1180
846	6490	1172
847	6499	1164
848	6507	1157
849	6517	1150
850	6525	1142
851	6533	1134
852	6541	1127
853	6549	1119
854	6557	1112
855	6566	1104
856	6574	1097
857	6581	1089
858	6589	1081
859	6597	1073
860	6605	1066
861	6613	1058
862	6621	1051
863	6629	1043
864	6638	1036
865	6644	1028
866	6651	1020
867	6658	1012
868	6665	1004
869	6672	996
870	6678	989
871	6685	981
872	6691	973
873	6697	965
874	6703	957
875	6710	949
876	6716	942
877	6722	934
878	6730	926
879	6737	918
880	6745	911
881	6751	903
882	6759	895
883	6767	888
884	6776	880
885	6783	872
886	6790	865
887	6796	857
888	6802	849
889	6808	841
890	6814	833
891	6821	825
892	6829	818
893	6837	810
894	6844	803
895	6852	795
896	6858	787
897	6867	779
898	6873	772
899	6881	764
900	6888	756
901	6894	749
902	6900	741
903	6906	733
904	6913	725
905	6921	718
906	6928	710
907	6936	702
908	6943	695
909	6950	687
910	6957	679
911	6965	672
912	6974	664
913	6981	656
914	6988	649
915	6996	641
916	7004	633
917	7013	626
918	7021	618
919	7027	611
920	7034	603
921	7040	595
922	7054	588
923	7115	585
924	7126	577
925	7143	570
926	7150	563
927	7157	555
928	7164	547
929	7171	539
930	7178	531
931	7185	524
932	7194	516
933	7202	508
934	7210	501
935	7217	493
936	7224	485
937	7231	477
938	7238	470
939	7247	462
940	7256	454
941	7263	447
942	7271	439
943	7278	431
944	7285	424
945	7293	416
946	7300	408
947	7307	400
948	7314	393
949	7320	385
950	7327	377
951	7333	369
952	7339	361
953	7345	354
954	7351	346
955	7356	338
956	7362	330
957	7367	322
958	7372	315
959	7377	307
960	7382	299
961	7388	291
962	7394	284
963	7401	276
964	7407	268
965	7414	260
966	7420	253
967	7428	245
968	7436	237
969	7444	230
970	7451	222
971	7459	214
972	7466	207
973	7476	199
974	7484	191
975	7492	184
976	7501	176
977	7511	168
978	7521	161
979	7529	153
980	7538	146
981	7547	138
982	7557	130
983	7566	123
984	7577	115
985	7587	107
986	7596	100
987	7604	92
988	7614	84
989	7624	77
990	7633	69
991	7641	61
992	7647	53
993	7655	46
994	7662	38
995	7670	30
996	7678	23
997	7685	15
998	7693	7
999	7739	0
